Index;File1_Sentences;File2_Sentences;File1_Frequency;File2_Frequency
644;;В предстоящие шесть лет важно не снижать такую динамику.;Counter();Counter({'в': 1, 'предстоящие': 1, 'шесть': 1, 'лет': 1, 'важно': 1, 'не': 1, 'снижать': 1, 'такую': 1, 'динамику': 1})
645;;Прошу Правительство подготовить и запустить новую программу расселения аварийного жилья.;Counter();Counter({'прошу': 1, 'правительство': 1, 'подготовить': 1, 'и': 1, 'запустить': 1, 'новую': 1, 'программу': 1, 'расселения': 1, 'аварийного': 1, 'жилья': 1})
646;;Что касается систем ЖКХ, то мы будем наращивать темпы модернизации коммунальной инфраструктуры.;Counter();Counter({'что': 1, 'касается': 1, 'систем': 1, 'жкх': 1, 'то': 1, 'мы': 1, 'будем': 1, 'наращивать': 1, 'темпы': 1, 'модернизации': 1, 'коммунальной': 1, 'инфраструктуры': 1})
647;;В общей сложности до 2030 года на эти цели будет направлено 4,5 триллиона рублей, включая частные компании.;Counter();Counter({'в': 1, 'общей': 1, 'сложности': 1, 'до': 1, '2030': 1, 'года': 1, 'на': 1, 'эти': 1, 'цели': 1, 'будет': 1, 'направлено': 1, 'триллиона': 1, 'рублей': 1, 'включая': 1, 'частные': 1, 'компании': 1})
648;;Продолжим и реализацию нашего проекта «Чистая вода».;Counter();Counter({'продолжим': 1, 'и': 1, 'реализацию': 1, 'нашего': 1, 'проекта': 1, 'чистая': 1, 'вода': 1})
649;;Для многих наших городов, сельских поселений эта проблема чрезвычайно актуальная.;Counter();Counter({'для': 1, 'многих': 1, 'наших': 1, 'городов': 1, 'сельских': 1, 'поселений': 1, 'эта': 1, 'проблема': 1, 'чрезвычайно': 1, 'актуальная': 1})
650;;Прежде всего речь идёт о надёжном снабжении качественной питьевой водой.;Counter();Counter({'прежде': 1, 'всего': 1, 'речь': 1, 'идёт': 1, 'о': 1, 'надёжном': 1, 'снабжении': 1, 'качественной': 1, 'питьевой': 1, 'водой': 1})
651;;Отдельная тема – газификация.;Counter();Counter({'отдельная': 1, 'тема': 1, 'газификация': 1})
652;;В планах обеспечить этим экологичным топливом города и районы Якутии, Бурятии, Хабаровского, Приморского, Забайкальского краёв, Мурманской и Амурской областей, Еврейской автономной области, Карелии, такой крупный город России, как Красноярск.;Counter();Counter({'и': 2, 'в': 1, 'планах': 1, 'обеспечить': 1, 'этим': 1, 'экологичным': 1, 'топливом': 1, 'города': 1, 'районы': 1, 'якутии': 1, 'бурятии': 1, 'хабаровского': 1, 'приморского': 1, 'забайкальского': 1, 'краёв': 1, 'мурманской': 1, 'амурской': 1, 'областей': 1, 'еврейской': 1, 'автономной': 1, 'области': 1, 'карелии': 1, 'такой': 1, 'крупный': 1, 'город': 1, 'россии': 1, 'как': 1, 'красноярск': 1})
653;;Также с помощью СПГ газифицируем Камчатский край и некоторые другие районы.;Counter();Counter({'также': 1, 'с': 1, 'помощью': 1, 'спг': 1, 'газифицируем': 1, 'камчатский': 1, 'край': 1, 'и': 1, 'некоторые': 1, 'другие': 1, 'районы': 1})
654;;Естественно, это даст возможность расширить программу социальной газификации.;Counter();Counter({'естественно': 1, 'это': 1, 'даст': 1, 'возможность': 1, 'расширить': 1, 'программу': 1, 'социальной': 1, 'газификации': 1})
655;;Благодаря ей газ уже подведён бесплатно к границам одного миллиона ста тысяч участков.;Counter();Counter({'благодаря': 1, 'ей': 1, 'газ': 1, 'уже': 1, 'подведён': 1, 'бесплатно': 1, 'к': 1, 'границам': 1, 'одного': 1, 'миллиона': 1, 'ста': 1, 'тысяч': 1, 'участков': 1})
656;;Приём заявок продолжается, при этом льготным категориям граждан, в том числе семьям участников специальной военной операции, мы помогаем с проведением газовых коммуникаций внутри участка.;Counter();Counter({'приём': 1, 'заявок': 1, 'продолжается': 1, 'при': 1, 'этом': 1, 'льготным': 1, 'категориям': 1, 'граждан': 1, 'в': 1, 'том': 1, 'числе': 1, 'семьям': 1, 'участников': 1, 'специальной': 1, 'военной': 1, 'операции': 1, 'мы': 1, 'помогаем': 1, 'с': 1, 'проведением': 1, 'газовых': 1, 'коммуникаций': 1, 'внутри': 1, 'участка': 1})
657;;Что отдельно сейчас хотел бы сказать?;Counter();Counter({'что': 1, 'отдельно': 1, 'сейчас': 1, 'хотел': 1, 'бы': 1, 'сказать': 1})
658;;В границах многих населённых пунктов, куда уже проведён сетевой газ, расположены садоводческие товарищества.;Counter();Counter({'в': 1, 'границах': 1, 'многих': 1, 'населённых': 1, 'пунктов': 1, 'куда': 1, 'уже': 1, 'проведён': 1, 'сетевой': 1, 'газ': 1, 'расположены': 1, 'садоводческие': 1, 'товарищества': 1})
659;;Люди годами, порой из поколения в поколение обихаживают свои земельные участки, а сейчас строят там дома, в которых можно жить круглый год, но подключиться к сетям не могут, потому что садовые товарищества не попадают в программу социальной газификации.;Counter();Counter({'в': 3, 'не': 2, 'люди': 1, 'годами': 1, 'порой': 1, 'из': 1, 'поколения': 1, 'поколение': 1, 'обихаживают': 1, 'свои': 1, 'земельные': 1, 'участки': 1, 'а': 1, 'сейчас': 1, 'строят': 1, 'там': 1, 'дома': 1, 'которых': 1, 'можно': 1, 'жить': 1, 'круглый': 1, 'год': 1, 'но': 1, 'подключиться': 1, 'к': 1, 'сетям': 1, 'могут': 1, 'потому': 1, 'что': 1, 'садовые': 1, 'товарищества': 1, 'попадают': 1, 'программу': 1, 'социальной': 1, 'газификации': 1})
660;;Проблема затрагивает миллионы семей!;Counter();Counter({'проблема': 1, 'затрагивает': 1, 'миллионы': 1, 'семей': 1})
661;;Безусловно, её нужно решить, причём решить в интересах наших граждан, а именно: расширить программу социальной газификации и продолжить сети до границ участков с домом садоводческих товариществ.;Counter();Counter({'решить': 2, 'безусловно': 1, 'её': 1, 'нужно': 1, 'причём': 1, 'в': 1, 'интересах': 1, 'наших': 1, 'граждан': 1, 'а': 1, 'именно': 1, 'расширить': 1, 'программу': 1, 'социальной': 1, 'газификации': 1, 'и': 1, 'продолжить': 1, 'сети': 1, 'до': 1, 'границ': 1, 'участков': 1, 'с': 1, 'домом': 1, 'садоводческих': 1, 'товариществ': 1})
662;;Также получат поддержку жители отдалённых северных и дальневосточных территорий, где в ближайшие годы пока не будет сетевого газа.;Counter();Counter({'также': 1, 'получат': 1, 'поддержку': 1, 'жители': 1, 'отдалённых': 1, 'северных': 1, 'и': 1, 'дальневосточных': 1, 'территорий': 1, 'где': 1, 'в': 1, 'ближайшие': 1, 'годы': 1, 'пока': 1, 'не': 1, 'будет': 1, 'сетевого': 1, 'газа': 1})
663;;Сегодня они отапливают свои дома углём или дровами.;Counter();Counter({'сегодня': 1, 'они': 1, 'отапливают': 1, 'свои': 1, 'дома': 1, 'углём': 1, 'или': 1, 'дровами': 1})
664;;Теперь с помощью субсидий от государства они смогут приобрести современное экологичное оборудование, причём отечественного производства.;Counter();Counter({'теперь': 1, 'с': 1, 'помощью': 1, 'субсидий': 1, 'от': 1, 'государства': 1, 'они': 1, 'смогут': 1, 'приобрести': 1, 'современное': 1, 'экологичное': 1, 'оборудование': 1, 'причём': 1, 'отечественного': 1, 'производства': 1})
665;;В первую очередь поддержку должны получить наиболее нуждающиеся семьи.;Counter();Counter({'в': 1, 'первую': 1, 'очередь': 1, 'поддержку': 1, 'должны': 1, 'получить': 1, 'наиболее': 1, 'нуждающиеся': 1, 'семьи': 1})
666;;Выделим на эти цели также дополнительно порядка 32 миллиардов рублей.;Counter();Counter({'выделим': 1, 'на': 1, 'эти': 1, 'цели': 1, 'также': 1, 'дополнительно': 1, 'порядка': 1, '32': 1, 'миллиардов': 1, 'рублей': 1})
667;;С учётом современных экологических стандартов будем развивать общественный транспорт, снижать его возраст.;Counter();Counter({'с': 1, 'учётом': 1, 'современных': 1, 'экологических': 1, 'стандартов': 1, 'будем': 1, 'развивать': 1, 'общественный': 1, 'транспорт': 1, 'снижать': 1, 'его': 1, 'возраст': 1})
668;;До 2030 года субъекты Федерации дополнительно получат около 40 тысяч автобусов, троллейбусов, трамваев, электробусов.;Counter();Counter({'до': 1, '2030': 1, 'года': 1, 'субъекты': 1, 'федерации': 1, 'дополнительно': 1, 'получат': 1, 'около': 1, '40': 1, 'тысяч': 1, 'автобусов': 1, 'троллейбусов': 1, 'трамваев': 1, 'электробусов': 1})
669;;Дополнительно предусмотрим на эту программу обновления общественного транспорта 150 миллиардов рублей из федерального бюджета.;Counter();Counter({'дополнительно': 1, 'предусмотрим': 1, 'на': 1, 'эту': 1, 'программу': 1, 'обновления': 1, 'общественного': 1, 'транспорта': 1, '150': 1, 'миллиардов': 1, 'рублей': 1, 'из': 1, 'федерального': 1, 'бюджета': 1})
670;;Обновим и парк школьных автобусов, темпами причём не менее трёх тысяч машин в год, что особенно важно для малых городов и сельской местности.;Counter();Counter({'и': 2, 'обновим': 1, 'парк': 1, 'школьных': 1, 'автобусов': 1, 'темпами': 1, 'причём': 1, 'не': 1, 'менее': 1, 'трёх': 1, 'тысяч': 1, 'машин': 1, 'в': 1, 'год': 1, 'что': 1, 'особенно': 1, 'важно': 1, 'для': 1, 'малых': 1, 'городов': 1, 'сельской': 1, 'местности': 1})
671;;Об этом говорят и жители, и главы муниципалитетов, регионов.;Counter();Counter({'и': 2, 'об': 1, 'этом': 1, 'говорят': 1, 'жители': 1, 'главы': 1, 'муниципалитетов': 1, 'регионов': 1})
672;;Действительно, очень важная программа.;Counter();Counter({'действительно': 1, 'очень': 1, 'важная': 1, 'программа': 1})
673;;Поэтому выделим на закупку школьных автобусов ещё дополнительно 66 миллиардов рублей.;Counter();Counter({'поэтому': 1, 'выделим': 1, 'на': 1, 'закупку': 1, 'школьных': 1, 'автобусов': 1, 'ещё': 1, 'дополнительно': 1, '66': 1, 'миллиардов': 1, 'рублей': 1})
674;;И конечно, это должна быть техника, произведённая в России, полностью или с высокой степенью локализации.;Counter();Counter({'и': 1, 'конечно': 1, 'это': 1, 'должна': 1, 'быть': 1, 'техника': 1, 'произведённая': 1, 'в': 1, 'россии': 1, 'полностью': 1, 'или': 1, 'с': 1, 'высокой': 1, 'степенью': 1, 'локализации': 1})
675;;В рамках проекта «Чистый воздух» в 12 индустриальных центрах России, как вы знаете, удалось снизить вредные выбросы в атмосферу.;Counter();Counter({'в': 3, 'рамках': 1, 'проекта': 1, 'чистый': 1, 'воздух': 1, '12': 1, 'индустриальных': 1, 'центрах': 1, 'россии': 1, 'как': 1, 'вы': 1, 'знаете': 1, 'удалось': 1, 'снизить': 1, 'вредные': 1, 'выбросы': 1, 'атмосферу': 1})
676;;С прошлого года к проекту подключились ещё 29 городов.;Counter();Counter({'с': 1, 'прошлого': 1, 'года': 1, 'к': 1, 'проекту': 1, 'подключились': 1, 'ещё': 1, '29': 1, 'городов': 1})
677;;В целом по стране объём вредных выбросов в атмосферу должен быть сокращён вдвое.;Counter();Counter({'в': 2, 'целом': 1, 'по': 1, 'стране': 1, 'объём': 1, 'вредных': 1, 'выбросов': 1, 'атмосферу': 1, 'должен': 1, 'быть': 1, 'сокращён': 1, 'вдвое': 1})
678;;К этой цели будем двигаться поэтапно.;Counter();Counter({'к': 1, 'этой': 1, 'цели': 1, 'будем': 1, 'двигаться': 1, 'поэтапно': 1})
679;;Для оценки результатов создадим комплексную систему мониторинга качества окружающей среды.;Counter();Counter({'для': 1, 'оценки': 1, 'результатов': 1, 'создадим': 1, 'комплексную': 1, 'систему': 1, 'мониторинга': 1, 'качества': 1, 'окружающей': 1, 'среды': 1})
680;;За последние пять лет очищены тысячи километров рек и берегов, почти наполовину сокращены грязные стоки в Волгу.;Counter();Counter({'за': 1, 'последние': 1, 'пять': 1, 'лет': 1, 'очищены': 1, 'тысячи': 1, 'километров': 1, 'рек': 1, 'и': 1, 'берегов': 1, 'почти': 1, 'наполовину': 1, 'сокращены': 1, 'грязные': 1, 'стоки': 1, 'в': 1, 'волгу': 1})
681;;Теперь предлагаю поставить цель – вдвое снизить загрязнение основных водных объектов России.;Counter();Counter({'теперь': 1, 'предлагаю': 1, 'поставить': 1, 'цель': 1, 'вдвое': 1, 'снизить': 1, 'загрязнение': 1, 'основных': 1, 'водных': 1, 'объектов': 1, 'россии': 1})
682;;За последние пять лет ликвидировали 128 крупных свалок в городах и 80 объектов накопленного экологического вреда, которые буквально отравляли жизнь людей в 53 регионах России.;Counter();Counter({'в': 2, 'за': 1, 'последние': 1, 'пять': 1, 'лет': 1, 'ликвидировали': 1, '128': 1, 'крупных': 1, 'свалок': 1, 'городах': 1, 'и': 1, '80': 1, 'объектов': 1, 'накопленного': 1, 'экологического': 1, 'вреда': 1, 'которые': 1, 'буквально': 1, 'отравляли': 1, 'жизнь': 1, 'людей': 1, '53': 1, 'регионах': 1, 'россии': 1})
683;;В безопасное состояние приведены территории полигона «Красный Бор», Байкальского ЦБК и Усолья-Сибирского.;Counter();Counter({'в': 1, 'безопасное': 1, 'состояние': 1, 'приведены': 1, 'территории': 1, 'полигона': 1, 'красный': 1, 'бор': 1, 'байкальского': 1, 'цбк': 1, 'и': 1})
684;;Что в этой связи, уважаемые коллеги, хотел бы подчеркнуть?;Counter();Counter({'что': 1, 'в': 1, 'этой': 1, 'связи': 1, 'уважаемые': 1, 'коллеги': 1, 'хотел': 1, 'бы': 1, 'подчеркнуть': 1})
685;;На этих объектах проведены пока только самые неотложные мероприятия, но это далеко не всё.;Counter();Counter({'на': 1, 'этих': 1, 'объектах': 1, 'проведены': 1, 'пока': 1, 'только': 1, 'самые': 1, 'неотложные': 1, 'мероприятия': 1, 'но': 1, 'это': 1, 'далеко': 1, 'не': 1, 'всё': 1})
686;;Оставлять их в таком состоянии, как сейчас, тоже ни в коем случае нельзя.;Counter();Counter({'в': 2, 'оставлять': 1, 'их': 1, 'таком': 1, 'состоянии': 1, 'как': 1, 'сейчас': 1, 'тоже': 1, 'ни': 1, 'коем': 1, 'случае': 1, 'нельзя': 1})
687;;Надо довести эту работу до конца, создать здесь всю необходимую инфраструктуру.;Counter();Counter({'надо': 1, 'довести': 1, 'эту': 1, 'работу': 1, 'до': 1, 'конца': 1, 'создать': 1, 'здесь': 1, 'всю': 1, 'необходимую': 1, 'инфраструктуру': 1})
688;;В целом, по всей России продолжим ликвидацию наиболее опасных объектов накопленного экологического вреда.;Counter();Counter({'в': 1, 'целом': 1, 'по': 1, 'всей': 1, 'россии': 1, 'продолжим': 1, 'ликвидацию': 1, 'наиболее': 1, 'опасных': 1, 'объектов': 1, 'накопленного': 1, 'экологического': 1, 'вреда': 1})
689;;В предстоящие шесть лет должно быть ликвидировано не менее 50 таких точек высоких экологических рисков.;Counter();Counter({'в': 1, 'предстоящие': 1, 'шесть': 1, 'лет': 1, 'должно': 1, 'быть': 1, 'ликвидировано': 1, 'не': 1, 'менее': 1, '50': 1, 'таких': 1, 'точек': 1, 'высоких': 1, 'экологических': 1, 'рисков': 1})
690;;Надо создавать стимулы для бизнеса и внедрять «зелёные» технологии, переходить на экономику замкнутого цикла.;Counter();Counter({'надо': 1, 'создавать': 1, 'стимулы': 1, 'для': 1, 'бизнеса': 1, 'и': 1, 'внедрять': 1, 'зелёные': 1, 'технологии': 1, 'переходить': 1, 'на': 1, 'экономику': 1, 'замкнутого': 1, 'цикла': 1})
691;;Тем более что у нас, по сути, с нуля создана современная отрасль обращения с отходами.;Counter();Counter({'с': 2, 'тем': 1, 'более': 1, 'что': 1, 'у': 1, 'нас': 1, 'по': 1, 'сути': 1, 'нуля': 1, 'создана': 1, 'современная': 1, 'отрасль': 1, 'обращения': 1, 'отходами': 1})
692;;Для их обработки и утилизации построены 250 предприятий.;Counter();Counter({'для': 1, 'их': 1, 'обработки': 1, 'и': 1, 'утилизации': 1, 'построены': 1, '250': 1, 'предприятий': 1})
693;;Задача к 2030 году – сортировать всё, что подлежит сортировке, все твёрдые отходы, и не менее четверти из них использовать вторично.;Counter();Counter({'задача': 1, 'к': 1, '2030': 1, 'году': 1, 'сортировать': 1, 'всё': 1, 'что': 1, 'подлежит': 1, 'сортировке': 1, 'все': 1, 'твёрдые': 1, 'отходы': 1, 'и': 1, 'не': 1, 'менее': 1, 'четверти': 1, 'из': 1, 'них': 1, 'использовать': 1, 'вторично': 1})
694;;Выделим на такие проекты дополнительные финансовые средства, построим совместно с бизнесом ещё порядка 400 объектов по обращению с отходами и восемь экопромышленных парков.;Counter();Counter({'с': 2, 'выделим': 1, 'на': 1, 'такие': 1, 'проекты': 1, 'дополнительные': 1, 'финансовые': 1, 'средства': 1, 'построим': 1, 'совместно': 1, 'бизнесом': 1, 'ещё': 1, 'порядка': 1, '400': 1, 'объектов': 1, 'по': 1, 'обращению': 1, 'отходами': 1, 'и': 1, 'восемь': 1, 'экопромышленных': 1, 'парков': 1})
695;;Что ещё хочу сказать?;Counter();Counter({'что': 1, 'ещё': 1, 'хочу': 1, 'сказать': 1})
696;;В ходе встреч с гражданами на Дальнем Востоке, в Сибири, в других регионах не раз звучала тема сбережения наших лесных богатств, о том, что надо наводить порядок с нелегальными вырубками, с охраной лесных массивов.;Counter();Counter({'в': 3, 'с': 3, 'лесных': 2, 'ходе': 1, 'встреч': 1, 'гражданами': 1, 'на': 1, 'дальнем': 1, 'востоке': 1, 'сибири': 1, 'других': 1, 'регионах': 1, 'не': 1, 'раз': 1, 'звучала': 1, 'тема': 1, 'сбережения': 1, 'наших': 1, 'богатств': 1, 'о': 1, 'том': 1, 'что': 1, 'надо': 1, 'наводить': 1, 'порядок': 1, 'нелегальными': 1, 'вырубками': 1, 'охраной': 1, 'массивов': 1})
697;;У этой темы действительно огромный общественный резонанс.;Counter();Counter({'у': 1, 'этой': 1, 'темы': 1, 'действительно': 1, 'огромный': 1, 'общественный': 1, 'резонанс': 1})
698;;Она важна почти для каждого человека, мы здесь, что называется, всем миром объединяем усилия, и ситуация постепенно меняется.;Counter();Counter({'она': 1, 'важна': 1, 'почти': 1, 'для': 1, 'каждого': 1, 'человека': 1, 'мы': 1, 'здесь': 1, 'что': 1, 'называется': 1, 'всем': 1, 'миром': 1, 'объединяем': 1, 'усилия': 1, 'и': 1, 'ситуация': 1, 'постепенно': 1, 'меняется': 1})
699;;Очень важный рубеж: начиная с 2021 года в России восстанавливается лесов больше, чем вырубается.;Counter();Counter({'очень': 1, 'важный': 1, 'рубеж': 1, 'начиная': 1, 'с': 1, '2021': 1, 'года': 1, 'в': 1, 'россии': 1, 'восстанавливается': 1, 'лесов': 1, 'больше': 1, 'чем': 1, 'вырубается': 1})
700;;Я хочу поблагодарить за этот результат волонтёров, школьников, студентов, всех граждан, которые высаживали деревья, участвовали в экологических акциях, и, конечно, представителей бизнеса за поддержку таких проектов.;Counter();Counter({'за': 2, 'я': 1, 'хочу': 1, 'поблагодарить': 1, 'этот': 1, 'результат': 1, 'волонтёров': 1, 'школьников': 1, 'студентов': 1, 'всех': 1, 'граждан': 1, 'которые': 1, 'высаживали': 1, 'деревья': 1, 'участвовали': 1, 'в': 1, 'экологических': 1, 'акциях': 1, 'и': 1, 'конечно': 1, 'представителей': 1, 'бизнеса': 1, 'поддержку': 1, 'таких': 1, 'проектов': 1})
701;;Мы обязательно продолжим восстановление лесов, парков, садов, в том числе вокруг агломераций и промышленных центров.;Counter();Counter({'мы': 1, 'обязательно': 1, 'продолжим': 1, 'восстановление': 1, 'лесов': 1, 'парков': 1, 'садов': 1, 'в': 1, 'том': 1, 'числе': 1, 'вокруг': 1, 'агломераций': 1, 'и': 1, 'промышленных': 1, 'центров': 1})
702;;Отдельным решением предлагаю повысить зарплаты специалистов, которые трудятся в лесном хозяйстве, в сфере метеорологии, охраны окружающей среды, то есть занимаются важнейшими вопросами экологического благополучия.;Counter();Counter({'в': 2, 'отдельным': 1, 'решением': 1, 'предлагаю': 1, 'повысить': 1, 'зарплаты': 1, 'специалистов': 1, 'которые': 1, 'трудятся': 1, 'лесном': 1, 'хозяйстве': 1, 'сфере': 1, 'метеорологии': 1, 'охраны': 1, 'окружающей': 1, 'среды': 1, 'то': 1, 'есть': 1, 'занимаются': 1, 'важнейшими': 1, 'вопросами': 1, 'экологического': 1, 'благополучия': 1})
703;;Надо честно сказать, что вопросы, которые они решают, очень важные, а доходы у них очень скромные.;Counter();Counter({'очень': 2, 'надо': 1, 'честно': 1, 'сказать': 1, 'что': 1, 'вопросы': 1, 'которые': 1, 'они': 1, 'решают': 1, 'важные': 1, 'а': 1, 'доходы': 1, 'у': 1, 'них': 1, 'скромные': 1})
704;;Для поддержки гражданских инициатив в сфере защиты окружающей среды считаю необходимым учредить фонд экологических и природоохранных проектов.;Counter();Counter({'для': 1, 'поддержки': 1, 'гражданских': 1, 'инициатив': 1, 'в': 1, 'сфере': 1, 'защиты': 1, 'окружающей': 1, 'среды': 1, 'считаю': 1, 'необходимым': 1, 'учредить': 1, 'фонд': 1, 'экологических': 1, 'и': 1, 'природоохранных': 1, 'проектов': 1})
705;;Для начала совокупный объём его грантов составит один миллиард рублей в год.;Counter();Counter({'для': 1, 'начала': 1, 'совокупный': 1, 'объём': 1, 'его': 1, 'грантов': 1, 'составит': 1, 'один': 1, 'миллиард': 1, 'рублей': 1, 'в': 1, 'год': 1})
706;;Продолжится работа и по сохранению особо охраняемых природных территорий, защите и восстановлению редких и исчезающих видов растений и животных.;Counter();Counter({'и': 4, 'продолжится': 1, 'работа': 1, 'по': 1, 'сохранению': 1, 'особо': 1, 'охраняемых': 1, 'природных': 1, 'территорий': 1, 'защите': 1, 'восстановлению': 1, 'редких': 1, 'исчезающих': 1, 'видов': 1, 'растений': 1, 'животных': 1})
707;;Предлагаю в этой связи подумать и об открытии сети центров реабилитации для травмированных и конфискованных диких животных.;Counter();Counter({'и': 2, 'предлагаю': 1, 'в': 1, 'этой': 1, 'связи': 1, 'подумать': 1, 'об': 1, 'открытии': 1, 'сети': 1, 'центров': 1, 'реабилитации': 1, 'для': 1, 'травмированных': 1, 'конфискованных': 1, 'диких': 1, 'животных': 1})
708;;К 2030 году во всех национальных парках страны создадим инфраструктуру экологического туризма, включая экотропы и пешие туристические маршруты, в том числе маршруты выходного дня для школьников, площадки отдыха, музеи и визит-центры.;Counter();Counter({'и': 2, 'маршруты': 2, 'к': 1, '2030': 1, 'году': 1, 'во': 1, 'всех': 1, 'национальных': 1, 'парках': 1, 'страны': 1, 'создадим': 1, 'инфраструктуру': 1, 'экологического': 1, 'туризма': 1, 'включая': 1, 'экотропы': 1, 'пешие': 1, 'туристические': 1, 'в': 1, 'том': 1, 'числе': 1, 'выходного': 1, 'дня': 1, 'для': 1, 'школьников': 1, 'площадки': 1, 'отдыха': 1, 'музеи': 1})
709;;Современная, безопасная инфраструктура появится и вблизи водных объектов, в том числе на озере Байкал.;Counter();Counter({'современная': 1, 'безопасная': 1, 'инфраструктура': 1, 'появится': 1, 'и': 1, 'вблизи': 1, 'водных': 1, 'объектов': 1, 'в': 1, 'том': 1, 'числе': 1, 'на': 1, 'озере': 1, 'байкал': 1})
710;;Здесь до 2030 года откроется круглогодичный курорт.;Counter();Counter({'здесь': 1, 'до': 1, '2030': 1, 'года': 1, 'откроется': 1, 'круглогодичный': 1, 'курорт': 1})
711;;При этом считаю важным строго придерживаться принципа «ноль загрязнения», то есть полного отсутствия отходов и неочищенных стоков в озеро.;Counter();Counter({'при': 1, 'этом': 1, 'считаю': 1, 'важным': 1, 'строго': 1, 'придерживаться': 1, 'принципа': 1, 'ноль': 1, 'загрязнения': 1, 'то': 1, 'есть': 1, 'полного': 1, 'отсутствия': 1, 'отходов': 1, 'и': 1, 'неочищенных': 1, 'стоков': 1, 'в': 1, 'озеро': 1})
712;;Строительство байкальского курорта станет частью крупного проекта «Пять морей».;Counter();Counter({'строительство': 1, 'байкальского': 1, 'курорта': 1, 'станет': 1, 'частью': 1, 'крупного': 1, 'проекта': 1, 'пять': 1, 'морей': 1})
713;;Современные гостиничные комплексы также появятся на побережьях Каспия, Балтики, Азовского, Чёрного и Японского морей.;Counter();Counter({'современные': 1, 'гостиничные': 1, 'комплексы': 1, 'также': 1, 'появятся': 1, 'на': 1, 'побережьях': 1, 'каспия': 1, 'балтики': 1, 'азовского': 1, 'чёрного': 1, 'и': 1, 'японского': 1, 'морей': 1})
714;;Только этот проект позволит увеличить внутренний турпоток ещё на 10 миллионов человек в год.;Counter();Counter({'только': 1, 'этот': 1, 'проект': 1, 'позволит': 1, 'увеличить': 1, 'внутренний': 1, 'турпоток': 1, 'ещё': 1, 'на': 1, '10': 1, 'миллионов': 1, 'человек': 1, 'в': 1, 'год': 1})
715;;А в целом по стране – с учётом динамичного развития таких туристических центров, как Алтай, Камчатка, Кузбасс, Северный Кавказ, Карелия, Русский Север, – до 2030 года турпоток должен практически удвоиться, до 140 миллионов человек в год.;Counter();Counter({'в': 2, 'до': 2, 'а': 1, 'целом': 1, 'по': 1, 'стране': 1, 'с': 1, 'учётом': 1, 'динамичного': 1, 'развития': 1, 'таких': 1, 'туристических': 1, 'центров': 1, 'как': 1, 'алтай': 1, 'камчатка': 1, 'кузбасс': 1, 'северный': 1, 'кавказ': 1, 'карелия': 1, 'русский': 1, 'север': 1, '2030': 1, 'года': 1, 'турпоток': 1, 'должен': 1, 'практически': 1, 'удвоиться': 1, '140': 1, 'миллионов': 1, 'человек': 1, 'год': 1})
716;;При этом вклад туризма в ВВП России также вырастет вдвое – до пяти процентов.;Counter();Counter({'при': 1, 'этом': 1, 'вклад': 1, 'туризма': 1, 'в': 1, 'ввп': 1, 'россии': 1, 'также': 1, 'вырастет': 1, 'вдвое': 1, 'до': 1, 'пяти': 1, 'процентов': 1})
717;;В ближайшее время выработаем дополнительные решения на этот счёт.;Counter();Counter({'в': 1, 'ближайшее': 1, 'время': 1, 'выработаем': 1, 'дополнительные': 1, 'решения': 1, 'на': 1, 'этот': 1, 'счёт': 1})
718;;Развитие туризма, региона в целом обеспечивает транспортная инфраструктура.;Counter();Counter({'развитие': 1, 'туризма': 1, 'региона': 1, 'в': 1, 'целом': 1, 'обеспечивает': 1, 'транспортная': 1, 'инфраструктура': 1})
719;;Уже открылось скоростное автомобильное движение между Москвой и Казанью, в текущем году продлим магистраль до Екатеринбурга, а в следующем – до Тюмени.;Counter();Counter({'в': 2, 'до': 2, 'уже': 1, 'открылось': 1, 'скоростное': 1, 'автомобильное': 1, 'движение': 1, 'между': 1, 'москвой': 1, 'и': 1, 'казанью': 1, 'текущем': 1, 'году': 1, 'продлим': 1, 'магистраль': 1, 'екатеринбурга': 1, 'а': 1, 'следующем': 1, 'тюмени': 1})
720;;В перспективе современный и безопасный маршрут пройдёт через всю страну – до Владивостока.;Counter();Counter({'в': 1, 'перспективе': 1, 'современный': 1, 'и': 1, 'безопасный': 1, 'маршрут': 1, 'пройдёт': 1, 'через': 1, 'всю': 1, 'страну': 1, 'до': 1, 'владивостока': 1})
721;;Также за шесть лет в России должно быть построено более 50 обходов городов.;Counter();Counter({'также': 1, 'за': 1, 'шесть': 1, 'лет': 1, 'в': 1, 'россии': 1, 'должно': 1, 'быть': 1, 'построено': 1, 'более': 1, '50': 1, 'обходов': 1, 'городов': 1})
722;;Новый значимый автодорожный проект – это, конечно, строительство трассы Джубга–Сочи.;Counter();Counter({'новый': 1, 'значимый': 1, 'автодорожный': 1, 'проект': 1, 'это': 1, 'конечно': 1, 'строительство': 1, 'трассы': 1})
723;;Она сократит время в пути от трассы М-4 «Дон» до Сочи в четыре раза – до полутора часов – и, более того, позволит активно развиваться Черноморскому побережью.;Counter();Counter({'в': 2, 'до': 2, 'она': 1, 'сократит': 1, 'время': 1, 'пути': 1, 'от': 1, 'трассы': 1, 'дон': 1, 'сочи': 1, 'четыре': 1, 'раза': 1, 'полутора': 1, 'часов': 1, 'и': 1, 'более': 1, 'того': 1, 'позволит': 1, 'активно': 1, 'развиваться': 1, 'черноморскому': 1, 'побережью': 1})
